iter	RMSE
0	3661.067131
1	3322.632183
2	3019.248918
3	2747.932376
4	2500.214082
5	2279.526464
6	2081.839103
7	1905.817832
8	1747.641433
9	1606.471071
10	1480.697259
11	1371.090224
12	1270.625197
13	1183.432577
14	1106.857058
15	1036.827093
16	978.3749184
17	925.3578255
18	880.8229644
19	841.8049286
20	807.455555
21	777.6732123
22	750.7900156
23	728.9663621
24	709.8954146
25	693.2110139
26	679.2499309
27	667.5583936
28	656.8132271
29	647.8397338
30	640.2476671
31	633.3503138
32	627.8750249
33	622.69115
34	618.1930529
35	614.1528143
36	610.7609208
37	607.8292604
38	605.2084347
39	602.7917773
40	600.6373569
41	598.6444484
42	597.0305594
43	595.5468302
44	594.1246709
45	592.9671815
46	591.7110463
47	590.7903061
48	589.8962472
49	589.1828364
50	588.1682323
51	587.3699021
52	586.7847312
53	586.3518225
54	585.763573
55	585.200183
56	584.5808948
57	583.9869647
58	583.5783046
59	583.2322849
60	582.5961007
61	582.1908267
62	581.6124801
63	581.0770537
64	580.6762296
65	580.2096979
66	579.899423
67	579.6235137
68	579.4311569
69	579.0890416
70	578.7682491
71	578.363227
72	578.1048325
73	577.7605109
74	577.4548433
75	577.0811074
76	576.7178209
77	576.5161945
78	576.118911
79	575.8519653
80	575.5488762
81	575.3845033
82	575.0410987
83	574.737481
84	574.542817
85	574.3900917
86	574.1658023
87	574.0049341
88	573.584634
89	573.4089877
90	573.1713869
91	572.8976702
92	572.7388309
93	572.5825921
94	572.375486
95	572.2404071
96	571.9903414
97	571.839367
98	571.5992837
99	571.4225152
