iter	Passed	Remaining
0	4	420
1	7	388
2	11	371
3	15	372
4	19	371
5	23	368
6	27	359
7	30	353
8	34	348
9	38	343
10	41	338
11	45	332
12	49	328
13	52	323
14	56	319
15	59	314
16	63	310
17	67	306
18	71	303
19	74	299
20	78	295
21	81	290
22	85	286
23	89	283
24	93	279
25	96	275
26	100	271
27	103	267
28	107	263
29	111	259
30	114	255
31	118	251
32	121	247
33	125	243
34	128	239
35	132	235
36	136	232
37	139	228
38	143	225
39	147	220
40	150	217
41	154	213
42	158	209
43	161	205
44	165	202
45	168	197
46	172	194
47	175	190
48	178	186
49	182	182
50	185	178
51	189	174
52	192	171
53	196	167
54	199	163
55	203	159
56	206	155
57	210	152
58	213	148
59	217	144
60	220	140
61	224	137
62	227	133
63	231	129
64	234	126
65	237	122
66	241	118
67	244	115
68	248	111
69	251	107
70	255	104
71	258	100
72	261	96
73	265	93
74	268	89
75	272	86
76	276	82
77	279	78
78	283	75
79	286	71
80	290	68
81	293	64
82	297	60
83	300	57
84	304	53
85	307	50
86	310	46
87	314	42
88	317	39
89	320	35
90	324	32
91	327	28
92	331	24
93	334	21
94	338	17
95	341	14
96	345	10
97	349	7
98	352	3
99	355	0
