iter	Passed	Remaining
0	13	5556
1	23	4592
2	33	4486
3	42	4172
4	49	3939
5	57	3766
6	64	3613
7	71	3507
8	78	3430
9	86	3357
10	93	3307
11	101	3266
12	108	3228
13	115	3180
14	122	3134
15	128	3094
16	136	3066
17	142	3033
18	149	3006
19	156	2978
20	163	2950
21	170	2927
22	178	2926
23	185	2910
24	192	2886
25	199	2866
26	206	2848
27	213	2829
28	219	2813
29	226	2797
30	233	2780
31	240	2766
32	247	2752
33	254	2737
34	261	2727
35	268	2713
36	275	2705
37	282	2693
38	289	2682
39	296	2670
40	303	2657
41	310	2646
42	317	2634
43	324	2624
44	331	2614
45	338	2602
46	345	2597
47	352	2588
48	359	2576
49	366	2566
50	374	2561
51	381	2550
52	388	2544
53	395	2535
54	402	2527
55	409	2516
56	416	2504
57	423	2494
58	430	2485
59	436	2475
60	443	2465
61	450	2456
62	457	2446
63	464	2437
64	471	2431
65	479	2424
66	485	2414
67	492	2406
68	499	2397
69	506	2388
70	513	2379
71	520	2370
72	527	2362
73	533	2352
74	540	2344
75	547	2335
76	554	2327
77	561	2318
78	568	2311
79	576	2304
80	582	2295
81	589	2286
82	596	2278
83	603	2270
84	610	2261
85	617	2254
86	624	2246
87	631	2238
88	637	2229
89	645	2221
90	651	2213
91	658	2206
92	666	2198
93	673	2191
94	680	2183
95	686	2174
96	693	2166
97	700	2158
98	707	2151
99	714	2143
100	721	2135
101	728	2128
102	735	2120
103	742	2113
104	749	2106
105	756	2098
106	763	2091
107	770	2084
108	777	2075
109	784	2068
110	791	2060
111	798	2052
112	805	2045
113	812	2038
114	819	2031
115	826	2024
116	833	2016
117	840	2009
118	847	2001
119	854	1994
120	861	1987
121	869	1980
122	876	1973
123	883	1966
124	890	1959
125	897	1952
126	904	1944
127	911	1936
128	918	1929
129	925	1922
130	932	1915
131	939	1908
132	946	1900
133	953	1892
134	960	1884
135	967	1877
136	974	1870
137	981	1862
138	987	1855
139	995	1847
140	1002	1840
141	1009	1833
142	1016	1826
143	1023	1819
144	1030	1811
145	1037	1804
146	1044	1797
147	1051	1789
148	1058	1782
149	1065	1775
150	1072	1769
151	1080	1762
152	1087	1755
153	1094	1748
154	1101	1740
155	1108	1733
156	1114	1725
157	1122	1718
158	1129	1711
159	1136	1704
160	1142	1696
161	1150	1689
162	1157	1682
163	1164	1675
164	1171	1668
165	1178	1661
166	1185	1654
167	1192	1646
168	1199	1639
169	1206	1632
170	1213	1624
171	1220	1617
172	1227	1610
173	1234	1603
174	1241	1595
175	1248	1589
176	1255	1582
177	1262	1574
178	1269	1567
179	1277	1560
180	1283	1553
181	1291	1546
182	1298	1539
183	1305	1532
184	1312	1525
185	1319	1518
186	1326	1511
187	1333	1504
188	1341	1497
189	1348	1490
190	1355	1483
191	1363	1476
192	1370	1469
193	1377	1462
194	1384	1455
195	1391	1448
196	1398	1441
197	1405	1434
198	1412	1427
199	1419	1419
200	1427	1413
201	1434	1406
202	1441	1398
203	1448	1391
204	1455	1384
205	1462	1377
206	1470	1370
207	1477	1363
208	1484	1356
209	1491	1349
210	1498	1342
211	1506	1335
212	1513	1328
213	1520	1321
214	1527	1314
215	1534	1307
216	1541	1299
217	1548	1293
218	1555	1285
219	1562	1278
220	1570	1271
221	1577	1264
222	1584	1257
223	1591	1250
224	1599	1243
225	1605	1236
226	1613	1229
227	1620	1222
228	1627	1215
229	1634	1207
230	1641	1200
231	1648	1193
232	1655	1186
233	1662	1179
234	1669	1172
235	1677	1165
236	1684	1158
237	1691	1151
238	1698	1144
239	1705	1137
240	1712	1129
241	1719	1122
242	1726	1115
243	1733	1108
244	1740	1101
245	1748	1094
246	1754	1087
247	1761	1079
248	1769	1072
249	1776	1065
250	1783	1058
251	1790	1051
252	1797	1044
253	1804	1037
254	1812	1030
255	1819	1023
256	1826	1016
257	1833	1009
258	1841	1002
259	1848	995
260	1855	988
261	1862	981
262	1870	974
263	1877	967
264	1884	960
265	1891	952
266	1898	945
267	1905	938
268	1912	931
269	1920	924
270	1927	917
271	1933	910
272	1940	902
273	1947	895
274	1955	888
275	1962	881
276	1969	874
277	1977	867
278	1984	860
279	1992	853
280	1999	846
281	2006	839
282	2014	832
283	2021	825
284	2029	818
285	2036	811
286	2043	804
287	2050	797
288	2057	790
289	2064	783
290	2072	776
291	2079	769
292	2086	761
293	2093	754
294	2100	747
295	2107	740
296	2114	733
297	2121	726
298	2127	718
299	2134	711
300	2141	704
301	2149	697
302	2156	690
303	2163	683
304	2170	676
305	2177	669
306	2184	661
307	2191	654
308	2198	647
309	2205	640
310	2212	633
311	2219	626
312	2226	618
313	2233	611
314	2241	604
315	2248	597
316	2255	590
317	2262	583
318	2269	576
319	2277	569
320	2284	562
321	2291	555
322	2298	547
